name:en,addr:street,addr:housenumber,category,geometry
,,,Office / Business Center,POINT (30.723969299999997 46.50118479999999)
,,,Sport Facility,POINT (30.718800300000005 46.48880389999999)
,вулиця Владислава Бувалкіна,30,Office / Business Center,POINT (30.795615299999994 46.588439099999995)
,Дніпропетровська дорога,108,Office / Business Center,POINT (30.798263899999995 46.580061099999995)
ATB-Market,,,Mall / Supermarket,POINT (30.6837154 46.4516928)
Estate Sale,,,Office / Business Center,POINT (30.722465100000004 46.3996932)
,вулиця Отамана Головатого,47,Office / Business Center,POINT (30.722515099999992 46.5040512)
,,,Office / Business Center,POINT (30.7229649 46.5049723)
,вулиця Космонавтів,34,Office / Business Center,POINT (30.713350300000002 46.43013169999999)
The Stairway of Love,,,Tourism / Beach,POINT (30.7454624 46.483692899999994)
,Обсерваторний провулок,2/6,Office / Business Center,POINT (30.759388499999993 46.4736743)
Gurman,,,Mall / Supermarket,POINT (30.8074908 46.57826169999999)
ATB-Market,,,Mall / Supermarket,POINT (30.7242665 46.3966081)
FRESCO real estate broker,Італійська вулиця,"48, офис 6/3",Office / Business Center,POINT (30.741418100000004 46.47437239999999)
,Агрономічна вулиця,23,Office / Business Center,POINT (30.6842707 46.4898148)
,,,Office / Business Center,POINT (30.725330799999995 46.3687453)
,вулиця Євгена Танцюри,25б,Sport Facility,POINT (30.708766599999997 46.4299155)
,Бугаївська вулиця,33,Sport Facility,POINT (30.698432700000005 46.47122509999999)
ATB-Market,вулиця Сім'ї Глодан,10/1,Mall / Supermarket,POINT (30.713619 46.4009388)
NKN-BUDTRANS,,,Office / Business Center,POINT (30.732242399999997 46.4739982)
cossak tomb,,,Tourism / Beach,POINT (30.728666099999998 46.464167399999994)
,,,Office / Business Center,POINT (30.750116599999995 46.43031619999999)
,,,Office / Business Center,POINT (30.748677200000003 46.4310395)
,,,Office / Business Center,POINT (30.743045799999997 46.44935079999999)
,,,Office / Business Center,POINT (30.7442929 46.452847199999994)
,,,Office / Business Center,POINT (30.743212699999997 46.45197449999999)
,,,Office / Business Center,POINT (30.755531899999994 46.450625699999996)
,,,Mall / Supermarket,POINT (30.7473146 46.47446920000001)
,,,Office / Business Center,POINT (30.745892999999995 46.4708773)
,,,Office / Business Center,POINT (30.7378363 46.47953799999999)
,,,Office / Business Center,POINT (30.7429137 46.47771709999999)
,,,Office / Business Center,POINT (30.736968499999993 46.4756063)
,,,Office / Business Center,POINT (30.738426500000003 46.4754762)
,,,Office / Business Center,POINT (30.724148499999995 46.3904357)
,,,Office / Business Center,POINT (30.7222231 46.387053099999996)
,,,Office / Business Center,POINT (30.716908699999994 46.39072049999999)
,,,Office / Business Center,POINT (30.723234599999998 46.3977837)
,,,Office / Business Center,POINT (30.7261089 46.400105100000005)
,,,Office / Business Center,POINT (30.728474699999996 46.3991397)
,,,Office / Business Center,POINT (30.734156 46.4710182)
,,,Office / Business Center,POINT (30.752711 46.4715025)
,,,Office / Business Center,POINT (30.7439803 46.4721527)
,,,Office / Business Center,POINT (30.736772399999992 46.4730192)
,,,Office / Business Center,POINT (30.725739200000003 46.4738686)
,,,Office / Business Center,POINT (30.742278199999998 46.4740946)
,,,Office / Business Center,POINT (30.744041000000003 46.473953)
,,,Office / Business Center,POINT (30.723506599999993 46.40067969999999)
,,,Mall / Supermarket,POINT (30.723232499999998 46.4014706)
,,,Office / Business Center,POINT (30.722044599999993 46.4020407)
,,,Office / Business Center,POINT (30.722916 46.4027534)
